Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-42.0	-66.0	-50.0	33.97435386419575	2760
1a	-34.0	-70.0	-48.0	30.899974521614794	
1b	-32.0	-78.0	-46.0	30.21086724595423	
1c	-44.0	-58.0	-52.0	25.51865828273809	
2	-6.0	-26.0	-58.0	33.74578261591812	4640
2a	-12.0	-36.0	-56.0	22.061233150391992	
2b	16.0	-34.0	-54.0	13.32571112160535	
2c	6.0	-26.0	-56.0	13.238367263853103	
3	12.0	-98.0	-18.0	13.950465990426922	360
4	2.0	-100.0	20.0	11.418007372944476	416
4a	2.0	-92.0	32.0	6.656288857482183	
5	0.0	-48.0	-52.0	9.8172712025536	368
5a	-12.0	-52.0	-50.0	5.054474524831487	
5b	8.0	-48.0	-52.0	4.5917382373023345	
5c	-16.0	-48.0	-52.0	4.3330953200324425	
6	16.0	-84.0	-42.0	9.79402862459098	704
6a	28.0	-80.0	-44.0	8.575029472632988	
6b	18.0	-78.0	-44.0	7.269317202709913	
6c	8.0	-88.0	-42.0	4.529537521884025	
7	2.0	10.0	76.0	7.986943694600174	112
8	0.0	-26.0	82.0	7.150569563648212	688
8a	2.0	-44.0	82.0	4.682076041359411	
9	-14.0	-58.0	-48.0	7.039947086054134	80
10	22.0	-4.0	-42.0	5.982247122173663	136
11	0.0	-72.0	-44.0	5.881480527888112	160
12	36.0	-38.0	-54.0	5.544746022100134	112
13	0.0	-98.0	-14.0	5.314223093894693	248
13a	2.0	-90.0	-14.0	4.014737296457405	
14	42.0	-48.0	-50.0	4.613157441319875	160
14a	44.0	-56.0	-50.0	3.6928429512429677	
14b	36.0	-50.0	-50.0	3.360819353045296	
