Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-42.0	-66.0	-50.0	23.807387935983954	1960
1a	-34.0	-70.0	-48.0	21.652656043957123	
1b	-32.0	-78.0	-46.0	21.17014025585118	
1c	-44.0	-58.0	-52.0	17.881785957878197	
2	-6.0	-26.0	-58.0	23.703940365186188	2824
2a	-12.0	-36.0	-56.0	15.475292432463316	
2b	16.0	-34.0	-54.0	9.344922761314116	
2c	6.0	-26.0	-56.0	9.31038448010574	
3	12.0	-98.0	-18.0	10.003398620413806	248
4	2.0	-100.0	20.0	8.227620285535833	184
5	0.0	-48.0	-52.0	6.879412186209947	112
6	16.0	-84.0	-42.0	6.864525614990849	240
7	28.0	-80.0	-44.0	6.056586288486504	88
7a	18.0	-78.0	-44.0	5.113866929538949	
8	0.0	-26.0	82.0	5.071015744329758	176
9	0.0	-96.0	-14.0	3.8291032140540633	80
