Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-8.0	-64.0	-62.0	26.56497496618635	7312
1a	6.0	-40.0	-70.0	18.452569856348997	
1b	-2.0	-60.0	-64.0	18.340660722396652	
1c	-10.0	-50.0	-66.0	15.408367454009797	
2	22.0	74.0	-6.0	9.721373775736145	448
3	44.0	58.0	-10.0	6.768857219593979	320
4	-2.0	74.0	16.0	6.657192489941766	168
5	46.0	-38.0	-34.0	4.891923238895424	112
6	24.0	-76.0	-60.0	4.779323712730718	200
6a	36.0	-74.0	-60.0	3.5204801217089257	
7	-18.0	-86.0	-50.0	4.143794323572085	96
8	20.0	-84.0	-52.0	3.887741530887182	96
