Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-34.0	84.0	14.107338355379579	288
2	2.0	-32.0	-66.0	13.026326757419072	3688
2a	10.0	-30.0	-56.0	12.997467890591711	
2b	-2.0	-10.0	-40.0	11.56158331389046	
2c	14.0	-36.0	-56.0	11.35731683380777	
3	0.0	-70.0	-60.0	12.41132637637405	1384
4	34.0	-24.0	-40.0	9.177312495490039	240
5	-10.0	4.0	-28.0	8.880518946588756	368
6	10.0	2.0	-28.0	7.101253186552227	200
7	4.0	-96.0	30.0	6.284389440578724	96
8	60.0	-68.0	4.0	6.088684384050376	96
9	-4.0	-10.0	-26.0	5.886880199026213	440
10	4.0	-98.0	-14.0	5.624561331843015	112
11	-2.0	22.0	-20.0	4.811506362546506	112
12	40.0	-50.0	-60.0	4.77907047266879	112
13	-52.0	-30.0	-22.0	4.605360373033799	88
