Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-70.0	11.526961922771639	728
1a	2.0	-32.0	-66.0	8.373328835116043	
1b	2.0	-38.0	-72.0	7.560218516296764	
2	2.0	-70.0	-64.0	11.326638575888222	1288
2a	12.0	-60.0	-66.0	10.73534663112144	
2b	2.0	-56.0	-68.0	9.9604092642517	
2c	6.0	-68.0	-64.0	8.33348586888286	
3	0.0	-12.0	-44.0	6.471437358823484	264
4	0.0	-24.0	-58.0	6.145315862909081	512
4a	10.0	-30.0	-56.0	4.976096131150336	
5	0.0	-34.0	84.0	5.9074215439614175	160
6	-10.0	4.0	-28.0	5.151911702028496	144
7	14.0	-42.0	-66.0	3.843686848134398	128
