Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	40.0	62.0	-10.0	15.958669164733164	2016
1a	32.0	66.0	-14.0	8.65214076984474	
1b	18.0	72.0	-8.0	6.281650186896986	
1c	24.0	70.0	4.0	6.0436370959566394	
2	-8.0	66.0	-20.0	8.950898261205621	216
3	6.0	-36.0	-72.0	8.325381763079893	680
4	10.0	-98.0	-14.0	7.479045227030125	320
4a	18.0	-94.0	-20.0	5.023630337595637	
5	-26.0	72.0	-4.0	6.286472445755778	192
6	-30.0	68.0	2.0	6.286428884918694	144
7	-40.0	58.0	-2.0	6.166559672330497	240
8	44.0	56.0	0.0	5.652744740706262	144
9	0.0	-26.0	-62.0	3.87669281237746	144
