Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-70.0	11.549209360307664	728
1a	2.0	-32.0	-66.0	8.365703293322955	
1b	2.0	-38.0	-72.0	7.568046415526723	
2	2.0	-70.0	-64.0	11.345123881069949	1280
2a	12.0	-60.0	-66.0	10.748039492651738	
2b	2.0	-56.0	-68.0	9.675476653905427	
2c	6.0	-68.0	-64.0	8.351411092603676	
3	0.0	-12.0	-44.0	6.3587458128509	264
4	0.0	-24.0	-58.0	6.049819994454764	512
4a	10.0	-30.0	-56.0	4.984200296774598	
5	0.0	-34.0	84.0	5.848647644603748	160
6	-10.0	4.0	-28.0	5.081348098790663	136
7	14.0	-42.0	-66.0	3.8139157384260294	128
