Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-34.0	84.0	14.124666228099716	288
2	10.0	-30.0	-56.0	13.016281365573672	3680
2a	2.0	-32.0	-66.0	13.014767899421628	
2b	-2.0	-10.0	-40.0	11.563263851221084	
2c	14.0	-36.0	-56.0	11.376774310553092	
3	0.0	-70.0	-60.0	12.433156330603033	1360
4	34.0	-24.0	-40.0	9.17476946375653	240
5	-10.0	4.0	-28.0	8.888393980961807	352
6	10.0	2.0	-28.0	7.097030290920079	208
7	4.0	-96.0	30.0	6.285889381127141	104
8	-4.0	-10.0	-26.0	5.898086379922842	440
9	60.0	-68.0	4.0	5.869825753471813	104
10	4.0	-98.0	-14.0	5.622564054640598	96
11	-2.0	22.0	-20.0	4.820827872969173	112
12	40.0	-50.0	-60.0	4.787315006873344	112
13	-52.0	-30.0	-22.0	4.611463516096535	88
