Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-86.0	54.0	19.4925523854624	712
1a	-2.0	-78.0	66.0	6.425451055133895	
2	30.0	66.0	-10.0	18.61899695868555	632
3	-28.0	64.0	-6.0	18.01791289372718	472
3a	-36.0	58.0	-10.0	6.364759870758879	
4	4.0	-96.0	30.0	14.742313521348333	736
4a	4.0	-98.0	16.0	7.427901270936877	
5	10.0	-42.0	-72.0	14.268665434192497	2280
5a	-6.0	-42.0	-72.0	9.758357938383526	
5b	14.0	-54.0	-72.0	5.752389916226062	
5c	-12.0	-52.0	-72.0	4.383092405428674	
6	46.0	52.0	-10.0	7.204322027835029	416
6a	42.0	58.0	-2.0	5.052649825934198	
7	-20.0	-4.0	-38.0	6.004258531152481	144
8	-36.0	44.0	-22.0	5.608046335797381	80
9	8.0	-64.0	-68.0	5.255876004844822	184
9a	-2.0	-64.0	-68.0	4.931408853777361	
10	22.0	72.0	4.0	5.079735420713824	232
10a	12.0	72.0	2.0	4.8092081282190495	
11	4.0	-40.0	86.0	4.722714307939362	184
11a	4.0	-50.0	82.0	3.7581094747663712	
12	26.0	66.0	12.0	4.685608559714892	112
