Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	30.0	66.0	-10.0	30.135542257990515	3232
1a	46.0	52.0	-10.0	11.019100332829806	
1b	22.0	72.0	4.0	7.5323485715853495	
1c	40.0	60.0	0.0	7.45876442777106	
2	-28.0	64.0	-6.0	29.16266523994536	680
2a	-36.0	58.0	-10.0	9.579321925233131	
3	2.0	-86.0	54.0	26.192305865690752	920
3a	-2.0	-78.0	66.0	8.579792571278311	
4	4.0	-96.0	30.0	20.24911266693884	960
4a	4.0	-98.0	16.0	9.668399526737588	
5	10.0	-42.0	-72.0	17.749981023121553	3664
5a	-6.0	-42.0	-72.0	12.139233975453964	
5b	14.0	-54.0	-72.0	7.000175069695777	
5c	8.0	-64.0	-68.0	6.454438827021404	
6	34.0	42.0	-22.0	12.46816862746083	88
7	-20.0	-4.0	-38.0	7.608685507725076	248
7a	-24.0	4.0	-34.0	4.307435835827443	
8	-36.0	44.0	-22.0	7.106599534387807	104
9	4.0	-40.0	86.0	6.203790644887766	416
9a	4.0	-50.0	82.0	5.0181379450223265	
10	0.0	54.0	-20.0	4.879662062884193	104
11	18.0	-4.0	-38.0	4.84163242011172	88
12	-20.0	68.0	10.0	4.141817110124307	280
12a	-28.0	66.0	12.0	3.8697945134735208	
13	-42.0	54.0	0.0	4.096683194158186	80
