Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	74.70592286654737	3400
1a	-4.0	-30.0	-66.0	27.037061250076015	
1b	-12.0	-38.0	-68.0	24.960699013974747	
1c	10.0	-42.0	-68.0	7.099377685185612	
2	4.0	-66.0	-66.0	21.343942929152142	960
3	56.0	-68.0	-24.0	15.726291829814114	624
4	0.0	-96.0	34.0	12.5994560678294	856
4a	2.0	-86.0	50.0	11.914754878401027	
4b	2.0	-82.0	58.0	5.195374429530063	
5	-50.0	-78.0	-26.0	11.828523503962908	320
6	-8.0	-96.0	-24.0	11.796137261565333	1344
6a	-22.0	-94.0	-24.0	8.854320287809369	
7	0.0	-16.0	86.0	10.439230418605288	736
7a	0.0	-26.0	86.0	8.754471228650429	
7b	-4.0	-14.0	86.0	8.241263116371407	
7c	0.0	-38.0	84.0	6.871123786743531	
8	2.0	-14.0	-34.0	6.57289521251716	352
8a	14.0	-14.0	-32.0	4.58671102608004	
9	0.0	56.0	-18.0	5.555223822625862	112
10	18.0	-98.0	-24.0	4.333180196242777	96
