Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	40.18646387828814	1704
1a	-4.0	-30.0	-66.0	15.021860286877558	
1b	-12.0	-38.0	-68.0	13.834226734842801	
2	4.0	-66.0	-66.0	11.887414879106045	488
3	56.0	-68.0	-24.0	8.737567907735073	288
4	0.0	-96.0	34.0	6.874900410962038	176
5	-50.0	-78.0	-26.0	6.522926224914281	136
6	-8.0	-96.0	-24.0	6.521597222922816	528
6a	-22.0	-94.0	-24.0	4.804568520102827	
7	2.0	-86.0	50.0	6.465234411310201	168
8	0.0	-16.0	86.0	5.696172049700318	208
8a	0.0	-26.0	86.0	4.7898585134071805	
8b	-4.0	-14.0	86.0	4.532991777175319	
