Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	58.22123636908088	2784
1a	-4.0	-30.0	-66.0	21.640034562577753	
1b	-12.0	-38.0	-68.0	19.945262154334753	
1c	10.0	-42.0	-68.0	5.723283701630757	
2	4.0	-66.0	-66.0	17.11022829858069	760
3	56.0	-68.0	-24.0	12.587074297411107	472
4	0.0	-96.0	34.0	9.949695570000364	632
4a	2.0	-86.0	50.0	9.363585095329526	
4b	2.0	-82.0	58.0	4.0722312904850595	
5	-50.0	-78.0	-26.0	9.418350245710046	264
6	-8.0	-96.0	-24.0	9.409624006025654	1080
6a	-22.0	-94.0	-24.0	6.958446256120716	
7	0.0	-16.0	86.0	8.24378164351217	464
7a	0.0	-26.0	86.0	6.92876638760207	
7b	-4.0	-14.0	86.0	6.549522164304627	
8	2.0	-14.0	-34.0	5.335417269083125	192
8a	14.0	-14.0	-32.0	3.676906045726776	
