Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-32.0	-72.0	43.68871997929206	2304
1a	16.0	-42.0	-70.0	6.485118134326573	
1b	-12.0	-44.0	-70.0	5.247508949151015	
2	52.0	-14.0	-36.0	7.62026778800939	920
2a	60.0	-18.0	-28.0	4.893057221226834	
3	2.0	-94.0	-14.0	7.1071754622246	400
4	0.0	10.0	74.0	6.720963258284678	168
5	4.0	44.0	-30.0	6.250723070639177	104
6	-62.0	8.0	-2.0	6.13510807005115	104
7	16.0	-92.0	-18.0	5.553390083052926	704
7a	40.0	-84.0	-22.0	4.684827099352775	
7b	34.0	-90.0	-20.0	4.326251810603882	
8	-20.0	-96.0	-34.0	5.404823559284495	96
9	4.0	-12.0	82.0	4.690098475354959	152
10	6.0	-88.0	48.0	4.318677608294588	128
