Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-32.0	-72.0	40.00550136831246	2264
1a	16.0	-42.0	-70.0	6.777340397646757	
1b	-16.0	-46.0	-68.0	5.444224540476247	
2	2.0	-94.0	-14.0	7.117057968725357	392
3	52.0	-14.0	-36.0	6.939798172880444	856
3a	60.0	-18.0	-28.0	4.407214606240017	
4	0.0	10.0	74.0	6.351597156511654	160
5	4.0	44.0	-30.0	5.907200107465895	96
6	16.0	-92.0	-18.0	5.029726762575355	240
7	-20.0	-96.0	-34.0	4.814458012518933	96
8	4.0	-12.0	82.0	4.2946953140826105	128
9	40.0	-84.0	-22.0	4.0408273363343685	240
9a	34.0	-90.0	-20.0	3.8536979912983043	
10	6.0	-88.0	48.0	3.9974515264671684	96
