subject	AcqGroup
sub-20141	1
sub-20350	1
sub-20403	1
sub-20724	1
sub-20794	1
sub-20855	1
sub-20919	1
sub-21050	1
sub-21150	1
sub-21345	1
sub-21432	1
sub-21797	1
sub-22670	1
sub-22744	1
sub-20333	2
sub-20336	2
sub-20347	2
sub-20402	2
sub-20410	2
sub-20846	2
sub-20860	2
sub-21116	2
sub-21146	2
sub-21514	2
sub-21568	2
sub-21827	2
sub-22745	2
sub-23303	2
sub-20252	3
sub-20302	3
sub-20427	3
sub-20463	3
sub-20533	3
sub-20823	3
sub-20836	3
sub-20983	3
sub-21023	3
sub-21038	3
sub-21154	3
sub-21325	3
sub-20953	4
sub-21104	4
sub-21855	4
sub-21712	5
sub-21713	5
sub-22473	5
sub-20572	6
sub-21623	6
sub-22510	6
sub-20448	7
sub-21088	7
sub-21539	8
sub-21567	8
sub-21095	9
sub-22797	9
sub-21554	10
sub-22617	10
sub-22520	11
sub-22654	12
sub-22653	13
sub-23113	14
sub-23582	15
sub-22870	16
sub-22798	17
sub-22618	18
sub-23676	19
sub-23698	20
sub-138950	21
sub-21553	22
sub-21560	23
sub-21580	24
sub-21738	25
sub-22045	26
sub-21856	27
sub-22169	28
sub-22064	29
sub-21141	30
sub-21139	31
sub-21124	32
sub-21493	33
sub-21197	34
sub-21193	35
sub-21161	36
sub-21516	37
sub-20976	38
sub-20968	39
sub-20964	40
sub-20966	41
sub-20961	42
sub-20936	43
sub-20934	44
sub-20923	45
sub-20918	46
sub-20916	47
sub-20902	48
sub-21131	49
sub-21118	50
sub-21112	51
sub-21035	52
sub-21224	53
sub-20818	54
sub-20842	55
sub-20849	56
sub-20865	57
sub-20866	58
sub-20626	59
sub-20691	60
sub-20812	61
sub-20494	62
sub-20612	63
sub-20352	64
sub-20399	65
sub-20335	66
sub-20328	67
sub-20712	68
sub-20721	69
sub-20305	70
sub-20310	71
sub-20258	72
sub-20303	73
sub-20253	74
sub-20238	75
sub-20236	76
sub-20259	77
sub-20214	78
sub-20212	79
sub-20188	80
sub-20149	81
sub-20139	82
sub-20125	83
sub-20124	84
sub-19861	85
