Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-norm_run-01_suffix-T2w__1	datatype-anat_reconstruction-norm_run-01_suffix-T2w	1				0		0		0	0	0	224	176	256	256	0.565		224	120	FALSE	RAS+		anat		0	1	FALSE		2	1	i	3.2		FALSE	1	1	1
				datatype-anat_reconstruction-norm_run-01_suffix-T1w__1	datatype-anat_reconstruction-norm_run-01_suffix-T1w	1				0		0		0	0	0	223	176	256	256	0.0029		223	8	FALSE	RAS+		anat		0	1	FALSE		2	1		2.5		FALSE	1	1	1
				datatype-anat_run-01_suffix-T2w__1	datatype-anat_run-01_suffix-T2w	1				0		0		0	0	0	220	176	256	256	0.565		220	120	FALSE	RAS+		anat		0	1	FALSE		2	1	i	3.2		FALSE	1	1	1
				datatype-dwi_run-01_suffix-dwi__1	datatype-dwi_run-01_suffix-dwi	1				0	0	0	0	0	0	0	197	140	140	81	0.089	0.000689998	197	90	FALSE	LAS+		dwi	3	81	103	TRUE			0.75	j	4.2	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.6999999284744263
				acquisition-VARIANTObliquity_datatype-dwi_run-01_suffix-dwi__1	acquisition-VARIANTObliquity_datatype-dwi_run-01_suffix-dwi	1				0	0	0	0	0	0	0	22	140	140	81	0.089	0.000689998	22	90	FALSE	LAS+		dwi	3	81	103	FALSE			0.75	j	4.2	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.7000000476837158
			acquisition-dwi_datatype-fmap_direction-AP_run-01_suffix-epi	acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__1	acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	199	140	140	81	0.089	0.000689998	199	90	FALSE	LAS+		fmap		81	1	TRUE		1	0.75	j-	12.4	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.7000000476837158
			acquisition-dwi_datatype-fmap_direction-PA_run-01_suffix-epi	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__1	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	199	140	140	81	0.089	0.000689998	199	90	FALSE	LAS+		fmap		81	1	TRUE		1	0.75	j	12.4	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.7000000476837158
			acquisition-fmri_datatype-fmap_direction-AP_run-01_suffix-epi	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	187	90	90	60	0.08	0.000510012	187	90	FALSE	LAS+		fmap		60	1	TRUE		1	1	j-	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
			acquisition-fmri_datatype-fmap_direction-PA_run-01_suffix-epi	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	187	90	90	60	0.08	0.000510012	187	90	FALSE	LAS+		fmap		60	1	TRUE		1	1	j	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
			acquisition-fmriVARIANTObliquity_datatype-fmap_direction-AP_run-01_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__1	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	24	90	90	60	0.08	0.000510012	47	90	FALSE	LAS+		fmap		60	1	FALSE		1	1	j-	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
