subject	session	AcqGroup
sub-19861	2	1
sub-20139	2	1
sub-20139	3	1
sub-20141	1	1
sub-20188	1	1
sub-20188	2	1
sub-20214	2	1
sub-20214	3	1
sub-20238	1	1
sub-20252	1	1
sub-20252	2	1
sub-20253	1	1
sub-20253	2	1
sub-20253	3	1
sub-20258	1	1
sub-20258	2	1
sub-20259	2	1
sub-20302	1	1
sub-20302	2	1
sub-20303	2	1
sub-20303	3	1
sub-20305	1	1
sub-20310	1	1
sub-20310	2	1
sub-20328	1	1
sub-20333	1	1
sub-20336	1	1
sub-20347	1	1
sub-20350	1	1
sub-20352	1	1
sub-20399	2	1
sub-20402	1	1
sub-20403	1	1
sub-20410	1	1
sub-20427	1	1
sub-20427	2	1
sub-20463	1	1
sub-20463	2	1
sub-20494	3	1
sub-20533	1	1
sub-20533	2	1
sub-20572	2	1
sub-20626	1	1
sub-20691	2	1
sub-20712	1	1
sub-20712	2	1
sub-20712	3	1
sub-20721	2	1
sub-20721	3	1
sub-20724	1	1
sub-20794	1	1
sub-20823	1	1
sub-20823	2	1
sub-20836	1	1
sub-20836	2	1
sub-20846	1	1
sub-20855	1	1
sub-20860	1	1
sub-20865	2	1
sub-20866	2	1
sub-20902	1	1
sub-20902	2	1
sub-20919	1	1
sub-20923	2	1
sub-20936	2	1
sub-20936	3	1
sub-20953	1	1
sub-20953	2	1
sub-20966	1	1
sub-20966	2	1
sub-20966	3	1
sub-20968	1	1
sub-20968	3	1
sub-20983	1	1
sub-20983	2	1
sub-21023	1	1
sub-21023	2	1
sub-21035	2	1
sub-21038	1	1
sub-21038	2	1
sub-21050	1	1
sub-21104	1	1
sub-21104	2	1
sub-21112	2	1
sub-21116	1	1
sub-21139	2	1
sub-21146	1	1
sub-21150	1	1
sub-21154	1	1
sub-21154	2	1
sub-21161	3	1
sub-21325	1	1
sub-21325	2	1
sub-21345	1	1
sub-21432	1	1
sub-21493	1	1
sub-21514	1	1
sub-21516	1	1
sub-21554	1	1
sub-21568	1	1
sub-21623	1	1
sub-21712	1	1
sub-21713	1	1
sub-21797	1	1
sub-21827	1	1
sub-21855	1	1
sub-21855	2	1
sub-22064	1	1
sub-22473	1	1
sub-22510	1	1
sub-22617	1	1
sub-22653	1	1
sub-22654	2	1
sub-22670	1	1
sub-22744	1	1
sub-22745	1	1
sub-23303	1	1
sub-20572	1	2
sub-20902	3	2
sub-20976	3	2
sub-21539	1	2
sub-21553	2	2
sub-21567	1	2
sub-21623	2	2
sub-21712	2	2
sub-21713	2	2
sub-22045	2	2
sub-22064	2	2
sub-22473	2	2
sub-22510	2	2
sub-20494	2	3
sub-20818	2	3
sub-20976	1	3
sub-20976	2	3
sub-21493	2	3
sub-21580	1	3
sub-20916	1	4
sub-20916	2	4
sub-21124	1	4
sub-21141	2	4
sub-21856	1	4
sub-20305	2	5
sub-20612	1	5
sub-21095	1	5
sub-22797	1	5
sub-20310	3	6
sub-21088	1	6
sub-22653	2	6
sub-20259	3	7
sub-21554	2	7
sub-22617	2	7
sub-20849	1	8
sub-21141	1	8
sub-20149	1	9
sub-21035	1	9
sub-20494	1	10
sub-22618	1	10
sub-138950	1	11
sub-23698	1	12
sub-20303	1	13
sub-138950	2	14
sub-22045	1	15
sub-22169	1	16
sub-22520	1	17
sub-22618	2	18
sub-22654	1	19
sub-22798	1	20
sub-22870	1	21
sub-23113	1	22
sub-23582	1	23
sub-23676	1	24
sub-21738	1	25
sub-21580	2	26
sub-21553	1	27
sub-21516	2	28
sub-21560	2	29
sub-21560	1	30
sub-21118	1	31
sub-21118	2	32
sub-21112	1	33
sub-21035	3	34
sub-20961	2	35
sub-20961	1	36
sub-20968	2	37
sub-20964	1	38
sub-21193	2	39
sub-21193	1	40
sub-21161	2	41
sub-21161	1	42
sub-21139	1	43
sub-21131	1	44
sub-21224	1	45
sub-21197	1	46
sub-20842	1	47
sub-20865	1	48
sub-20866	1	49
sub-20916	3	50
sub-20923	1	51
sub-20918	1	52
sub-20936	1	53
sub-20934	1	54
sub-20626	2	55
sub-20691	1	56
sub-20721	1	57
sub-20448	1	58
sub-20812	1	59
sub-20818	1	60
sub-20812	2	61
sub-20812	3	62
sub-20328	2	63
sub-20335	1	64
sub-20352	2	65
sub-20399	1	66
sub-20236	1	67
sub-20214	1	68
sub-20259	1	69
sub-20238	2	70
sub-20188	3	71
sub-20212	1	72
sub-20149	2	73
sub-20149	3	74
sub-20139	1	75
sub-20125	1	76
sub-20124	1	77
sub-19861	1	78
