subject	AcqGroup
sub-20141	1
sub-20333	1
sub-20336	1
sub-20347	1
sub-20350	1
sub-20402	1
sub-20403	1
sub-20410	1
sub-20724	1
sub-20794	1
sub-20846	1
sub-20855	1
sub-20860	1
sub-20919	1
sub-21050	1
sub-21116	1
sub-21146	1
sub-21150	1
sub-21224	1
sub-21345	1
sub-21432	1
sub-21514	1
sub-21568	1
sub-21797	1
sub-21827	1
sub-22670	1
sub-22744	1
sub-22745	1
sub-23303	1
sub-20252	2
sub-20258	2
sub-20302	2
sub-20328	2
sub-20427	2
sub-20463	2
sub-20533	2
sub-20626	2
sub-20823	2
sub-20836	2
sub-20953	2
sub-20983	2
sub-21023	2
sub-21038	2
sub-21104	2
sub-21154	2
sub-21325	2
sub-21855	2
sub-20572	3
sub-21623	3
sub-21712	3
sub-21713	3
sub-22064	3
sub-22473	3
sub-22510	3
sub-20612	4
sub-21095	4
sub-22797	4
sub-20253	5
sub-20712	5
sub-20966	5
sub-21539	6
sub-21567	6
sub-21493	7
sub-21580	7
sub-21554	8
sub-22617	8
sub-21124	9
sub-21856	9
sub-22653	10
sub-22654	11
sub-22798	12
sub-22870	13
sub-23113	14
sub-23582	15
sub-23676	16
sub-23698	17
sub-138950	18
sub-21553	19
sub-21516	20
sub-21560	21
sub-22045	22
sub-21738	23
sub-22169	24
sub-22618	25
sub-21139	26
sub-21131	27
sub-21118	28
sub-21112	29
sub-21088	30
sub-21035	31
sub-20976	32
sub-20968	33
sub-20964	34
sub-20961	35
sub-20936	36
sub-21197	37
sub-21193	38
sub-21161	39
sub-21141	40
sub-22520	41
sub-20902	42
sub-20916	43
sub-20918	44
sub-20923	45
sub-20934	46
sub-20818	47
sub-20866	48
sub-20865	49
sub-20691	50
sub-20721	51
sub-20494	52
sub-20448	53
sub-20399	54
sub-20812	55
sub-20849	56
sub-20842	57
sub-20310	58
sub-20335	59
sub-20352	60
sub-20303	61
sub-20259	62
sub-20238	63
sub-20236	64
sub-20305	65
sub-20214	66
sub-20212	67
sub-20188	68
sub-20149	69
sub-20139	70
sub-20125	71
sub-20124	72
sub-19861	73
