Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-norm_run-01_suffix-T2w__1	datatype-anat_reconstruction-norm_run-01_suffix-T2w	1				204				0.565		204	120	False			anat		0				2.0	1.0	i	3.2		False			
				datatype-anat_reconstruction-norm_run-01_suffix-T1w__1	datatype-anat_reconstruction-norm_run-01_suffix-T1w	1				203				0.0029		203	8	False			anat		0				2.0	1.0		2.5		False			
				datatype-anat_run-01_suffix-T2w__1	datatype-anat_run-01_suffix-T2w	1				203				0.565		203	120	False			anat		0				2.0	1.0	i	3.2		False			
				datatype-anat_reconstruction-norm_run-02_suffix-T1w__1	datatype-anat_reconstruction-norm_run-02_suffix-T1w	1				17				0.0029		17	8	False			anat		0				2.0	1.0		2.5		False			
				datatype-anat_reconstruction-norm_run-02_suffix-T2w__1	datatype-anat_reconstruction-norm_run-02_suffix-T2w	1				9				0.565		9	120	False			anat		0				2.0	1.0	i	3.2		False			
				datatype-anat_run-02_suffix-T2w__1	datatype-anat_run-02_suffix-T2w	1				9				0.565		9	120	False			anat		0				2.0	1.0	i	3.2		False			
				datatype-anat_reconstruction-norm_run-03_suffix-T1w__1	datatype-anat_reconstruction-norm_run-03_suffix-T1w	1				2				0.0029		2	8	False			anat		0				2.0	1.0		2.5		False			
				datatype-dwi_run-01_suffix-dwi__1	datatype-dwi_run-01_suffix-dwi	1				223				0.089	0.000689998	223	90	False			dwi	3.0	81					0.75	j	4.2	0.0959097	False			
				datatype-dwi_run-02_suffix-dwi__1	datatype-dwi_run-02_suffix-dwi	1				7				0.089	0.000689998	7	90	False			dwi	3.0	81					0.75	j	4.2	0.0959097	False			
				acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__1	acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	1				221				0.089	0.000689998	222	90	False			fmap		81					0.75	j-	12.4	0.0959097	False			
			acquisition-dwiVARIANTDim1SizeDim2SizeDim3SizeNumVolumesObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3ImageOrientation_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__2	acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	2				1	140.0	140.0	81.0	0.089	0.000689998	222	90	False	LAS+		fmap		81	1.0	True			0.75	j-	12.4	0.0959097	False	1.7142857313156128	1.7142857313156128	1.7000000476837158
				acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__1	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	1				220				0.089	0.000689998	222	90	False			fmap		81					0.75	j	12.4	0.0959097	False			
			acquisition-dwiVARIANTPhaseEncodingDirection_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__2	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	2				1				0.089	0.000689998	222	90	False			fmap		81					0.75	j-	12.4	0.0959097	False			
