Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	48.0	-64.0	-52.0	23.67692809832533	3080
1a	0.0	-64.0	-54.0	21.962707934842914	
1b	38.0	-66.0	-52.0	16.42406121490072	
1c	8.0	-64.0	-56.0	16.30909618780827	
2	4.0	-34.0	-66.0	13.766160416375367	1456
2a	12.0	-36.0	-64.0	13.576996695453259	
2b	-4.0	-34.0	-66.0	9.201179366287942	
2c	-12.0	-36.0	-64.0	6.8501946496212645	
3	-24.0	74.0	4.0	12.30939670461089	1336
4	42.0	-70.0	-50.0	12.032783200107847	264
4a	16.0	-76.0	-50.0	9.374964446156563	
4b	36.0	-72.0	-50.0	7.931725891927186	
4c	28.0	-74.0	-50.0	7.531598952795487	
5	20.0	76.0	4.0	10.783480349634639	1408
6	30.0	-80.0	-48.0	8.935015615416772	264
6a	42.0	-76.0	-48.0	8.906102872633333	
6b	16.0	-82.0	-48.0	5.7331818193706185	
7	-38.0	-54.0	-60.0	7.787888069632262	336
7a	-26.0	-58.0	-60.0	7.582475731012104	
7b	-36.0	-48.0	-60.0	6.70367597471148	
7c	-30.0	-56.0	-60.0	5.876496083323209	
8	36.0	68.0	-10.0	6.390010898872271	368
9	-16.0	-82.0	-50.0	6.1960533259888555	248
9a	-40.0	-82.0	-50.0	5.916263892413604	
9b	-22.0	-84.0	-50.0	5.56593591463916	
9c	-36.0	-84.0	-50.0	5.515795834011124	
