Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	48.0	-64.0	-52.0	20.23167621369421	2104
1a	0.0	-64.0	-54.0	19.002404855900906	
1b	8.0	-64.0	-56.0	14.077218803711066	
1c	-46.0	-72.0	-54.0	13.999888074256976	
2	14.0	-36.0	-64.0	11.451120777021352	1064
2a	4.0	-34.0	-66.0	11.315189417983222	
2b	-12.0	-36.0	-64.0	5.861219096816739	
2c	4.0	-44.0	-64.0	5.507944587132698	
3	0.0	-56.0	-58.0	11.213354284761634	568
3a	-28.0	-62.0	-58.0	8.954994475237406	
3b	14.0	-60.0	-58.0	8.546334776502597	
3c	-6.0	-58.0	-58.0	7.743019605155687	
4	38.0	-62.0	-54.0	10.67673315710659	112
5	42.0	-70.0	-50.0	10.266740666267149	240
5a	16.0	-76.0	-50.0	8.040085068170555	
5b	36.0	-72.0	-50.0	6.79386582241977	
5c	28.0	-74.0	-50.0	6.442850034632879	
6	-24.0	74.0	4.0	9.65837339129345	896
7	20.0	76.0	4.0	8.810669983117949	976
8	30.0	-80.0	-48.0	7.706236780292671	208
8a	42.0	-76.0	-48.0	7.628166149188313	
9	-44.0	-54.0	-60.0	6.744085948657442	304
9a	-26.0	-58.0	-60.0	6.584802289041882	
9b	-36.0	-48.0	-60.0	5.7406375785295065	
9c	-30.0	-56.0	-60.0	5.101044839202654	
10	-16.0	-82.0	-50.0	5.347438454906318	208
10a	-40.0	-82.0	-50.0	5.083364055829891	
10b	-22.0	-84.0	-50.0	4.8057971073200605	
10c	-36.0	-84.0	-50.0	4.7703239914206	
11	36.0	68.0	-10.0	4.847950023324398	160
