Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-64.0	-54.0	11.26408754340014	152
2	-46.0	-72.0	-54.0	8.231955367674969	288
2a	-24.0	-78.0	-52.0	5.141846307800954	
2b	-38.0	-78.0	-52.0	4.454883801066288	
3	0.0	-68.0	-52.0	8.22753566169576	264
3a	12.0	-72.0	-52.0	5.681038790692029	
3b	-10.0	-74.0	-52.0	4.209272574491419	
4	4.0	-34.0	-66.0	7.0722349884750235	344
4a	12.0	-36.0	-64.0	7.048663035918718	
4b	-4.0	-34.0	-66.0	4.785331641749089	
4c	-12.0	-36.0	-64.0	3.5417062134198645	
5	-24.0	74.0	4.0	6.478717080987488	408
6	-32.0	-66.0	-56.0	5.606486448623922	176
6a	-46.0	-64.0	-56.0	5.192094879964374	
6b	-36.0	-64.0	-56.0	4.326581962711778	
6c	-16.0	-66.0	-56.0	4.034245817893482	
7	20.0	76.0	4.0	5.560254046476625	432
8	-28.0	-62.0	-58.0	5.2940566004910465	144
8a	-36.0	-60.0	-58.0	4.561549787061524	
