Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-32.0	-66.0	16.808623546208825	1696
1a	-4.0	-32.0	-66.0	13.437361416078208	
1b	-14.0	-40.0	-64.0	7.124428280350708	
2	-38.0	64.0	-8.0	6.543969566614597	568
3	24.0	70.0	-20.0	6.491997115709618	2880
3a	32.0	70.0	-10.0	6.25565085023374	
3b	40.0	64.0	-8.0	5.935707463050664	
3c	24.0	74.0	-10.0	5.762588051361271	
4	26.0	-80.0	-46.0	6.039928224308301	104
5	-20.0	74.0	0.0	4.801831474664713	512
6	8.0	74.0	14.0	3.942958996376767	96
7	18.0	74.0	10.0	3.727388910281943	80
