Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-32.0	-66.0	21.149039680996445	2360
1a	-4.0	-32.0	-66.0	16.992533565683456	
1b	-14.0	-40.0	-64.0	8.976241051085921	
1c	0.0	-42.0	-64.0	8.107274462697912	
2	-38.0	64.0	-8.0	8.272232570546958	1376
2a	-44.0	54.0	-12.0	4.7799287994286885	
2b	-28.0	66.0	-14.0	4.705638929967322	
2c	-20.0	70.0	-12.0	3.4771131328125655	
3	24.0	70.0	-20.0	8.243937809975689	4304
3a	32.0	70.0	-10.0	7.941461690892424	
3b	40.0	64.0	-8.0	7.535298013699055	
3c	24.0	74.0	-10.0	7.320748984324918	
4	26.0	-80.0	-46.0	7.653153332308547	136
5	-20.0	74.0	0.0	6.063601426599646	888
6	8.0	74.0	14.0	4.9960974140106815	488
6a	18.0	74.0	10.0	4.730281182425498	
7	0.0	-20.0	-56.0	4.694825426482663	96
