Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-38.0	-72.0	21.50917488269982	5264
1a	2.0	-62.0	-68.0	16.985687546734038	
1b	-6.0	-40.0	-72.0	15.879176662541642	
1c	6.0	-60.0	-68.0	15.732499391204483	
2	-2.0	80.0	-6.0	14.245982903458954	384
3	52.0	-22.0	-26.0	11.882358617073857	568
4	-50.0	-24.0	-26.0	10.038214203905762	400
5	28.0	-84.0	-54.0	8.17171231495396	384
5a	18.0	-80.0	-58.0	5.308891924447751	
5b	14.0	-86.0	-50.0	4.012764759565848	
6	14.0	-94.0	-40.0	7.553374514170559	640
6a	10.0	-96.0	-28.0	5.965652015940444	
6b	6.0	-90.0	-42.0	4.9605904573150985	
7	22.0	-96.0	-20.0	7.157859066386148	216
7a	14.0	-92.0	-20.0	3.694420644644906	
8	-14.0	-90.0	-46.0	5.86238371823909	232
8a	-6.0	-90.0	-44.0	5.3182841741452105	
9	-28.0	-16.0	-42.0	5.825083725435404	104
10	2.0	-30.0	82.0	5.601820598856136	344
10a	6.0	-38.0	82.0	4.335918401551036	
11	-2.0	-50.0	80.0	5.480631422074796	184
12	0.0	-40.0	4.0	5.346392093966391	112
13	-4.0	-16.0	-44.0	4.7524554703444055	136
