Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	36.0	-72.0	-58.0	143.1484335052647	34320
1a	38.0	-64.0	-60.0	120.64916967569195	
1b	34.0	-80.0	-56.0	91.26810261180471	
1c	28.0	-58.0	-62.0	44.91832195558265	
2	-14.0	80.0	8.0	16.840935398060747	2888
2a	-26.0	76.0	2.0	14.47725922542822	
2b	16.0	78.0	8.0	12.896796634412913	
2c	-30.0	72.0	4.0	11.633507103430254	
3	-40.0	34.0	-24.0	10.644914019650088	1008
3a	-48.0	28.0	-22.0	10.096161688356936	
3b	-36.0	40.0	-22.0	7.9355715127728965	
3c	-40.0	48.0	-20.0	7.411154625353888	
4	-16.0	-18.0	-32.0	10.213058454621914	1760
4a	2.0	-20.0	-38.0	5.9556077532519645	
4b	4.0	-8.0	-24.0	4.919818700419992	
4c	-4.0	-18.0	-32.0	4.8588166543136815	
5	-56.0	20.0	-12.0	9.853805961812718	88
6	2.0	74.0	-18.0	8.55471984586866	2008
6a	-36.0	54.0	-18.0	8.424209355589804	
6b	-24.0	68.0	-14.0	8.366687813444573	
6c	-10.0	70.0	-16.0	7.588099379720266	
7	2.0	-42.0	4.0	8.06448920737677	240
8	-50.0	26.0	-20.0	6.874290133959785	80
8a	-50.0	38.0	-18.0	3.3646669027874774	
9	0.0	84.0	2.0	5.687609415629057	128
9a	-10.0	84.0	0.0	4.7884261254769145	
9b	8.0	84.0	2.0	3.8251224278764058	
10	20.0	66.0	-16.0	5.670145244502974	144
10a	28.0	66.0	-14.0	3.2902897156622877	
11	36.0	46.0	-20.0	5.459069155329853	144
12	42.0	8.0	-44.0	5.063211441393741	112
13	2.0	-98.0	20.0	5.062264009398478	120
14	0.0	8.0	78.0	5.045866748335214	272
14a	0.0	-2.0	80.0	4.647489639154029	
14b	2.0	14.0	76.0	3.610052343131606	
15	-16.0	20.0	-30.0	4.95957032250232	80
16	36.0	26.0	-30.0	4.944549518608362	160
16a	28.0	24.0	-28.0	3.9057224736014597	
17	-42.0	-20.0	-32.0	4.725112440864952	280
18	32.0	16.0	-40.0	4.361783603755938	96
19	-14.0	0.0	-40.0	4.230226245304715	88
20	2.0	24.0	70.0	3.894674882528193	88
21	-56.0	-56.0	-30.0	3.7566440694144734	80
