Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	36.0	-72.0	-58.0	100.35137549009704	23864
1a	38.0	-64.0	-60.0	84.51190269106293	
1b	34.0	-80.0	-56.0	63.84622030102312	
1c	26.0	-60.0	-62.0	31.53007335612987	
2	-14.0	80.0	8.0	11.829652745558104	1408
2a	-26.0	76.0	2.0	10.25210593813107	
2b	16.0	78.0	8.0	9.09824468564494	
2c	-24.0	76.0	8.0	7.923148432759082	
3	-30.0	72.0	4.0	8.244539833858713	88
3a	-30.0	70.0	12.0	5.235295696864069	
4	-40.0	34.0	-24.0	7.684723741426431	408
4a	-48.0	28.0	-22.0	7.270987113674201	
4b	-36.0	40.0	-22.0	5.736420709593463	
4c	-32.0	30.0	-26.0	4.899445341482217	
5	-36.0	66.0	-4.0	7.388178553824469	136
5a	-38.0	64.0	4.0	5.851942779149772	
6	-16.0	-18.0	-32.0	7.254136651738918	344
7	2.0	74.0	-18.0	6.085135967551227	456
7a	-10.0	70.0	-16.0	5.447012181142399	
7b	-18.0	62.0	-16.0	4.620912170562967	
8	-24.0	68.0	-14.0	6.042771537049368	128
9	2.0	-42.0	4.0	5.661112696505153	120
10	-40.0	48.0	-20.0	5.34000671082511	88
11	-40.0	58.0	-16.0	5.049343560896448	120
11a	-34.0	66.0	-14.0	3.708102903338902	
12	2.0	-20.0	-38.0	4.230152277909871	152
