Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	10.0	-64.0	-64.0	18.75209368008001	664
1a	0.0	-64.0	-64.0	12.482645531836468	
1b	-4.0	-56.0	-66.0	7.221498504653382	
2	-32.0	70.0	-2.0	14.848372819383561	3848
2a	-16.0	76.0	4.0	7.202348480940947	
3	32.0	72.0	-6.0	11.271602798149729	5064
3a	20.0	74.0	-10.0	10.472724937993275	
3b	12.0	78.0	6.0	6.654586741572878	
3c	38.0	62.0	-10.0	6.545181052481087	
4	-6.0	-40.0	-70.0	9.985297691024659	2560
4a	10.0	-38.0	-72.0	9.60501560793794	
4b	-2.0	-36.0	-72.0	8.44765535351125	
4c	-10.0	-36.0	-64.0	7.755496215860572	
5	6.0	2.0	78.0	4.937638261430354	80
6	14.0	-18.0	-46.0	4.722544122359359	152
7	-44.0	58.0	0.0	3.5815658269138866	112
