Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	10.0	-64.0	-64.0	12.23329933170436	336
1a	0.0	-64.0	-64.0	8.114675075117548	
2	-32.0	70.0	-2.0	9.822404883088788	2208
2a	-16.0	76.0	4.0	4.7658368656011945	
3	32.0	72.0	-6.0	7.383011325218619	2360
3a	20.0	74.0	-10.0	6.90109568393026	
3b	38.0	62.0	-10.0	4.32602529223052	
4	-6.0	-40.0	-70.0	6.49548275453828	1304
4a	10.0	-38.0	-72.0	6.179073400299363	
4b	-2.0	-36.0	-72.0	5.444971090111481	
4c	-10.0	-36.0	-64.0	5.032419927277497	
5	12.0	78.0	6.0	4.344598301851379	160
