Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-36.0	-72.0	25.840337213361554	5504
1a	16.0	-50.0	-72.0	10.07746715676292	
1b	0.0	-58.0	-70.0	9.68731157909053	
1c	-12.0	-54.0	-72.0	8.141383513544092	
2	-16.0	74.0	-4.0	11.367721517501261	3792
2a	-8.0	76.0	8.0	10.32830657867233	
2b	22.0	74.0	4.0	9.873128887760915	
2c	-8.0	74.0	-8.0	9.807243218465155	
3	-8.0	10.0	-34.0	7.768992479064235	88
4	0.0	-96.0	-18.0	7.710913120714157	312
5	2.0	-24.0	82.0	6.089108618778722	256
5a	6.0	-42.0	82.0	4.349503729672889	
5b	2.0	-32.0	82.0	3.9663816822996067	
6	18.0	-18.0	-40.0	4.4125499812673254	80
7	0.0	-10.0	-24.0	4.083007256613133	176
