Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	16.0	74.0	-2.0	15.807892932113077	2024
1a	28.0	70.0	-8.0	13.348368986382845	
1b	2.0	74.0	-6.0	12.198513927498372	
1c	32.0	68.0	-12.0	11.40179820198588	
2	-4.0	-38.0	-72.0	11.901189533229928	1280
2a	6.0	-36.0	-72.0	9.931322965878419	
3	-18.0	72.0	-4.0	8.48501736452054	240
3a	-22.0	72.0	8.0	7.093312469322413	
3b	-26.0	70.0	0.0	6.279938051573696	
4	-16.0	74.0	6.0	6.975696187605409	128
5	-28.0	68.0	-4.0	5.54973193104516	80
6	-10.0	8.0	-36.0	4.085325631024111	80
