Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	72.10170406601017	3384
1a	-4.0	-30.0	-66.0	27.120183876774718	
1b	-12.0	-38.0	-68.0	24.86996012444989	
1c	10.0	-44.0	-68.0	7.035543385085671	
2	4.0	-66.0	-66.0	21.471836734315296	960
3	56.0	-68.0	-24.0	15.814892766502757	616
4	0.0	-96.0	34.0	12.638546026615893	864
4a	2.0	-86.0	50.0	11.979610978514149	
4b	2.0	-82.0	58.0	5.21868443894467	
5	-50.0	-76.0	-26.0	11.525099754874946	320
6	-8.0	-96.0	-24.0	11.324455079299188	1336
6a	-20.0	-94.0	-24.0	8.609181212527893	
7	0.0	-16.0	86.0	10.08389872393984	728
7a	0.0	-26.0	86.0	8.804495188847644	
7b	-4.0	-14.0	86.0	8.280361763196783	
7c	0.0	-38.0	84.0	6.90426600025762	
8	2.0	-14.0	-34.0	6.608543002623934	360
8a	14.0	-14.0	-32.0	4.6131101854978525	
9	0.0	56.0	-18.0	5.588473526076599	120
10	18.0	-98.0	-24.0	4.357147916529058	88
