Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	58.131656657736066	2872
1a	-4.0	-30.0	-66.0	22.457365126912308	
1b	-12.0	-38.0	-68.0	20.55610026901845	
1c	10.0	-44.0	-68.0	5.896180841791047	
2	4.0	-66.0	-66.0	17.811378806879176	784
3	56.0	-68.0	-24.0	13.095811699288317	488
4	0.0	-96.0	34.0	10.308464811367289	656
4a	2.0	-86.0	50.0	9.717754254902847	
4b	2.0	-82.0	58.0	4.220792970581618	
5	-50.0	-76.0	-26.0	9.42397758498787	272
6	-8.0	-96.0	-24.0	9.360153089799876	1088
6a	-20.0	-94.0	-24.0	7.039655404079571	
7	0.0	-16.0	86.0	8.245519567281868	472
7a	0.0	-26.0	86.0	7.1993620074079825	
7b	-4.0	-14.0	86.0	6.802307446497834	
8	2.0	-14.0	-34.0	5.557825768887771	200
8a	14.0	-14.0	-32.0	3.8266802234231445	
