Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	6.0	-28.0	-66.0	42.431668809733914	1968
1a	-4.0	-30.0	-66.0	16.554720572145797	
1b	-12.0	-38.0	-68.0	15.137221316805212	
1c	10.0	-44.0	-68.0	4.384517639378675	
2	4.0	-66.0	-66.0	13.143900827262664	584
3	56.0	-68.0	-24.0	9.653737298297369	312
4	0.0	-96.0	34.0	7.546991830403868	392
4a	2.0	-86.0	50.0	7.102980825410935	
5	-50.0	-76.0	-26.0	6.905557927802318	176
6	-8.0	-96.0	-24.0	6.892684265265282	640
6a	-20.0	-94.0	-24.0	5.158410845763984	
7	0.0	-16.0	86.0	6.042025514512696	232
7a	0.0	-26.0	86.0	5.2754382039883625	
7b	-4.0	-14.0	86.0	4.99390550200137	
