Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	40.0	62.0	-10.0	15.99751808214634	2008
1a	32.0	66.0	-14.0	8.676104417215772	
1b	24.0	70.0	4.0	6.061249851007058	
1c	18.0	72.0	-8.0	5.986100625227128	
2	-8.0	66.0	-20.0	8.533782869379104	216
3	6.0	-36.0	-72.0	8.379280141982397	680
4	10.0	-98.0	-14.0	7.496752387269514	320
4a	18.0	-94.0	-20.0	5.032005295647264	
5	-30.0	68.0	2.0	6.3000500156022285	144
5a	-32.0	68.0	-6.0	3.25514551206051	
6	-26.0	72.0	-4.0	6.2990062705908	192
7	-40.0	58.0	-2.0	6.188758391763695	240
8	44.0	56.0	0.0	5.671344179876224	144
9	0.0	-26.0	-62.0	3.7914091732515227	144
