Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-8.0	-64.0	-62.0	28.53163280736534	8360
1a	6.0	-40.0	-70.0	18.990450056362437	
1b	6.0	-60.0	-64.0	18.271331239937606	
1c	-10.0	-50.0	-66.0	16.6052009674707	
2	22.0	74.0	-6.0	10.629442897730343	488
3	-2.0	74.0	16.0	7.338342427791252	192
4	42.0	60.0	-12.0	7.301032083114587	328
4a	48.0	54.0	-12.0	6.634634346090832	
5	36.0	-4.0	-34.0	5.522779839567005	96
6	46.0	-38.0	-34.0	5.404441411233944	144
7	-18.0	-86.0	-50.0	4.500232206635899	144
8	-30.0	66.0	-10.0	4.241740520999071	160
9	20.0	-84.0	-52.0	4.227194747189203	144
