Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	16.0	-94.0	-38.0	148.97729841667905	23864
1a	24.0	-96.0	-38.0	134.65246116290757	
1b	-16.0	-96.0	-36.0	123.81654304226699	
1c	4.0	-86.0	-40.0	118.67797126759413	
2	6.0	2.0	-34.0	23.341242990264597	4288
2a	-18.0	12.0	-34.0	8.744380862076113	
2b	-6.0	-4.0	-34.0	7.478032171548345	
2c	-8.0	6.0	-30.0	5.568143657264836	
3	-30.0	74.0	-2.0	15.064211535598949	7728
3a	-34.0	68.0	-10.0	11.48873105794716	
3b	-10.0	76.0	-2.0	10.406325963149373	
3c	6.0	76.0	-10.0	10.34487393431908	
4	22.0	74.0	0.0	11.404742968453736	2624
4a	38.0	64.0	-12.0	7.361375210325501	
4b	38.0	68.0	2.0	5.461439192711963	
4c	46.0	58.0	-2.0	4.816310708842688	
5	-32.0	-68.0	64.0	7.1700494374169494	368
5a	-24.0	-70.0	68.0	4.496487518122855	
6	20.0	-106.0	-12.0	6.892057418842342	264
6a	12.0	-110.0	-4.0	3.353494099341762	
7	4.0	-42.0	2.0	6.865417342661758	240
8	-46.0	-82.0	-28.0	6.459773526249824	224
8a	-52.0	-72.0	-26.0	4.653688234349857	
8b	-44.0	-84.0	-24.0	3.9212360971684026	
9	58.0	-64.0	-20.0	5.6059987598077035	256
9a	52.0	-70.0	-22.0	3.756363066641039	
10	4.0	-96.0	36.0	5.569997906661749	96
11	28.0	32.0	58.0	5.398601837771867	112
12	-50.0	-46.0	-34.0	5.172211996174405	144
13	2.0	-24.0	84.0	5.081108603176924	272
14	42.0	-38.0	72.0	4.78530061166046	80
15	2.0	-108.0	4.0	4.5089622895592925	120
16	28.0	-24.0	-34.0	4.444478573130241	352
16a	20.0	-18.0	-38.0	4.248253572945688	
