Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	36.0	-72.0	-58.0	94.5327216058761	20584
1a	38.0	-64.0	-60.0	82.76526138562815	
1b	34.0	-80.0	-56.0	59.7052273520737	
1c	28.0	-58.0	-62.0	29.342867794190603	
2	-14.0	80.0	8.0	11.00487937122701	880
2a	-26.0	76.0	2.0	9.511369625158663	
2b	-8.0	82.0	8.0	7.358301492182818	
2c	-24.0	76.0	8.0	7.352498758995748	
3	16.0	78.0	8.0	8.448430577648024	224
4	-40.0	34.0	-24.0	7.128778839228785	160
4a	-32.0	30.0	-26.0	4.546766787717155	
5	-48.0	28.0	-22.0	6.7471341603736965	200
5a	-36.0	40.0	-22.0	5.32445959412436	
5b	-48.0	36.0	-20.0	4.136399123820138	
6	-16.0	-18.0	-32.0	6.738352960908659	304
7	2.0	74.0	-18.0	5.646393528327553	168
8	-24.0	68.0	-14.0	5.60557088513787	120
9	2.0	-42.0	4.0	5.44290054559388	104
10	-10.0	70.0	-16.0	5.066034136078733	80
11	2.0	-20.0	-38.0	4.025490263912147	120
