Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	36.0	-72.0	-58.0	132.85859245023332	32264
1a	38.0	-64.0	-60.0	116.3203168667334	
1b	34.0	-80.0	-56.0	84.05586234217972	
1c	28.0	-58.0	-62.0	41.15927929220223	
2	-14.0	80.0	8.0	15.41288403117387	2608
2a	-26.0	76.0	2.0	13.192037560652492	
2b	16.0	78.0	8.0	11.771274612364312	
2c	-30.0	72.0	4.0	10.597425031268251	
3	-40.0	34.0	-24.0	9.660770040873208	656
3a	-48.0	28.0	-22.0	9.170401818928696	
3b	-36.0	40.0	-22.0	7.2039641226033115	
3c	-32.0	30.0	-26.0	6.139518921083631	
4	-16.0	-18.0	-32.0	9.312378258001974	1424
4a	2.0	-20.0	-38.0	5.568161871795826	
4b	-4.0	-18.0	-32.0	4.540631010013106	
4c	4.0	-8.0	-24.0	4.510967325869672	
5	-36.0	54.0	-18.0	7.80577522081483	1664
5a	2.0	74.0	-18.0	7.789628372332324	
5b	-24.0	68.0	-14.0	7.592377703457787	
5c	-10.0	70.0	-16.0	6.91266169287556	
6	2.0	-42.0	4.0	7.634763762256794	240
7	-40.0	48.0	-20.0	6.73099131241276	240
7a	-48.0	42.0	-20.0	3.6999272566497123	
8	0.0	84.0	2.0	5.171013992211312	128
8a	-10.0	84.0	0.0	4.350498608611853	
8b	8.0	84.0	2.0	3.477122991050509	
9	2.0	-98.0	20.0	5.1282658673285635	128
10	36.0	46.0	-20.0	4.95690556645253	112
11	0.0	8.0	78.0	4.697638169058623	216
11a	0.0	-2.0	80.0	4.329796210266751	
12	-42.0	-20.0	-32.0	4.2955717969570175	136
