Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-64.0	-54.0	10.632747230200522	88
2	-46.0	-72.0	-54.0	7.808287878921575	280
2a	-24.0	-78.0	-52.0	4.855707347843217	
2b	-38.0	-78.0	-52.0	4.207712968172977	
3	0.0	-68.0	-52.0	7.769920128889119	208
3a	12.0	-72.0	-52.0	5.366206438940347	
4	14.0	-36.0	-64.0	6.843945227190986	296
4a	4.0	-34.0	-66.0	6.714450238687227	
5	-20.0	76.0	4.0	6.315721445293862	400
6	20.0	76.0	4.0	5.49200012443604	400
7	-32.0	-66.0	-56.0	5.291270715792609	128
7a	-46.0	-64.0	-56.0	4.917764228730461	
7b	-36.0	-64.0	-56.0	4.083496486727396	
8	-28.0	-62.0	-58.0	4.9962885999996525	128
8a	-36.0	-60.0	-58.0	4.305995965103169	
