Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	48.0	-64.0	-52.0	23.213589436097934	2912
1a	0.0	-64.0	-54.0	21.46207688738433	
1b	38.0	-66.0	-52.0	16.115518885198192	
1c	8.0	-64.0	-56.0	15.961363883370986	
2	14.0	-36.0	-64.0	13.67256557832427	1440
2a	4.0	-34.0	-66.0	13.549759562505432	
2b	4.0	-44.0	-64.0	6.274127848260204	
2c	-8.0	-42.0	-64.0	5.0562884366923955	
3	-20.0	76.0	4.0	12.323217580760495	1328
4	38.0	-62.0	-54.0	12.290539145268427	120
5	42.0	-70.0	-50.0	11.80005257680269	264
5a	16.0	-76.0	-50.0	9.186036646757852	
5b	36.0	-72.0	-50.0	7.7704587730696355	
5c	28.0	-74.0	-50.0	7.380362851204875	
6	20.0	76.0	4.0	11.039390354182933	1408
7	30.0	-80.0	-48.0	8.741726699083001	256
7a	42.0	-76.0	-48.0	8.729777152006662	
7b	16.0	-82.0	-48.0	5.611123722877401	
8	-38.0	-54.0	-60.0	7.613171947134245	336
8a	-26.0	-58.0	-60.0	7.404369123615829	
8b	-36.0	-48.0	-60.0	6.569426312312663	
8c	-30.0	-56.0	-60.0	5.7402391895101	
9	36.0	68.0	-10.0	6.320009884018807	360
10	-16.0	-82.0	-50.0	6.0669183323145655	248
10a	-40.0	-82.0	-50.0	5.79371065601267	
10b	-22.0	-84.0	-50.0	5.443367053023813	
10c	-36.0	-84.0	-50.0	5.391712940433064	
