Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	48.0	-64.0	-52.0	18.07337658230381	1328
1a	0.0	-64.0	-54.0	16.841609673575878	
1b	38.0	-66.0	-52.0	12.493016729274288	
1c	-46.0	-72.0	-54.0	12.408753268428608	
2	8.0	-64.0	-56.0	12.509535761973476	496
2a	0.0	-60.0	-56.0	9.891846386443847	
2b	-32.0	-66.0	-56.0	8.40152569333955	
2c	-10.0	-64.0	-56.0	8.267635556451653	
3	14.0	-36.0	-64.0	10.553209570425631	840
3a	4.0	-34.0	-66.0	10.247101681930426	
3b	-8.0	-42.0	-64.0	3.947419398382955	
4	0.0	-56.0	-58.0	10.36491500329569	128
5	42.0	-70.0	-50.0	9.17769131849681	144
6	-20.0	76.0	4.0	8.955688882908566	824
7	20.0	76.0	4.0	8.292394562269196	888
8	-28.0	-62.0	-58.0	7.9306135219470875	280
8a	-36.0	-60.0	-58.0	6.837753296095773	
8b	-16.0	-62.0	-58.0	6.353677837108879	
8c	-46.0	-60.0	-58.0	5.327009905354754	
9	16.0	-76.0	-50.0	7.169643983654585	80
9a	28.0	-74.0	-50.0	5.7503619034559	
10	30.0	-80.0	-48.0	6.847950612740009	192
10a	42.0	-76.0	-48.0	6.807535715393841	
11	-38.0	-54.0	-60.0	5.970474757124671	232
11a	-30.0	-56.0	-60.0	4.512557138878762	
12	36.0	68.0	-10.0	4.4880208379452196	128
