Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	16.0	-94.0	-38.0	113.00492097711061	16880
1a	24.0	-96.0	-38.0	106.18404291295423	
1b	-16.0	-96.0	-36.0	98.06680276927366	
1c	4.0	-86.0	-40.0	93.57128647634099	
2	6.0	2.0	-34.0	17.592677778211325	1696
2a	-6.0	-4.0	-34.0	5.7183537774913615	
2b	2.0	-14.0	-40.0	3.765511304700075	
3	-30.0	74.0	-2.0	12.209086405898626	4048
3a	-34.0	68.0	-10.0	8.562117388964268	
3b	6.0	76.0	-10.0	7.840958983602491	
3c	-10.0	76.0	-2.0	7.676314354423754	
4	22.0	74.0	0.0	8.686463832085341	720
4a	28.0	74.0	12.0	3.2972203783118017	
5	-42.0	-62.0	-48.0	7.3531066816075	112
5a	-52.0	-60.0	-48.0	4.260781425454998	
6	-18.0	12.0	-34.0	6.605138857033433	224
7	38.0	64.0	-12.0	5.577579394190164	416
8	-32.0	-68.0	64.0	5.3922515542531775	176
9	4.0	-42.0	2.0	5.345475388703614	136
10	60.0	-62.0	-20.0	4.3517752823556455	160
11	4.0	-94.0	-20.0	4.21070434047863	144
12	38.0	68.0	2.0	4.117688988571111	128
13	-14.0	-16.0	-40.0	4.055070445103656	96
14	-10.0	70.0	-16.0	4.003337383641495	128
15	4.0	-20.0	82.0	3.842330000488128	96
16	46.0	60.0	-2.0	3.7297279960883554	88
17	-20.0	64.0	-14.0	3.6311368536701005	128
