Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	16.0	-94.0	-38.0	148.76246311606232	23984
1a	24.0	-96.0	-38.0	139.2326843505015	
1b	-16.0	-96.0	-36.0	128.8081658275329	
1c	4.0	-86.0	-40.0	122.90342342961023	
2	6.0	2.0	-34.0	23.176202694256904	4200
2a	-18.0	12.0	-34.0	8.700621515650338	
2b	-6.0	-4.0	-34.0	7.394672483156987	
2c	-8.0	6.0	-30.0	5.510695710153291	
3	-30.0	74.0	-2.0	15.01308172793431	7592
3a	-34.0	68.0	-10.0	10.960155370767596	
3b	6.0	76.0	-10.0	10.253527630213298	
3c	-10.0	76.0	-2.0	10.028635702006158	
4	22.0	74.0	0.0	11.398798750427904	2576
4a	38.0	64.0	-12.0	7.331087064849948	
4b	38.0	68.0	2.0	5.424551954747194	
4c	46.0	58.0	-2.0	4.790364407186513	
5	-32.0	-68.0	64.0	7.1100631755198975	376
5a	-24.0	-70.0	68.0	4.458515621255914	
6	4.0	-42.0	2.0	6.842611252482842	232
7	20.0	-106.0	-12.0	6.838078046505457	280
7a	12.0	-110.0	-4.0	3.3187810478404463	
8	-46.0	-82.0	-28.0	6.4138519093623305	264
8a	-52.0	-72.0	-26.0	4.6123608348895875	
8b	-44.0	-84.0	-24.0	4.025809814304981	
9	60.0	-62.0	-20.0	5.5741827081364494	248
9a	52.0	-70.0	-22.0	3.7268373877993453	
10	4.0	-96.0	36.0	5.536789698929565	96
11	28.0	32.0	58.0	5.356438298374449	104
12	-50.0	-46.0	-34.0	5.146879780086667	152
13	2.0	-24.0	84.0	5.045929483760114	264
14	2.0	-108.0	4.0	4.49465628444853	128
15	28.0	-24.0	-34.0	4.385111435340516	344
15a	22.0	-18.0	-38.0	4.193308458975324	
