Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-4.0	-60.0	-72.0	14.715075226563945	672
1a	6.0	-60.0	-72.0	9.136726013191273	
2	0.0	-36.0	-72.0	13.017237855990805	1744
2a	14.0	-44.0	-72.0	12.1582635262792	
2b	6.0	-38.0	-72.0	10.991199776904224	
2c	-8.0	-42.0	-72.0	10.848265203313419	
3	-4.0	-24.0	-58.0	8.523951692485989	296
3a	2.0	-20.0	-54.0	5.634347219581826	
4	12.0	12.0	-38.0	6.631747914586078	112
5	0.0	-8.0	-42.0	6.352585953898003	240
6	-2.0	-6.0	-32.0	4.96686648348891	104
7	0.0	-56.0	76.0	4.306460988177952	104
8	2.0	-30.0	82.0	4.041827182804751	112
