Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-32.0	-68.0	46.51699003315256	2032
1a	18.0	-40.0	-64.0	21.07271857877301	
1b	-12.0	-38.0	-64.0	13.11487767105076	
1c	2.0	-40.0	-66.0	3.7465549977438206	
2	0.0	-58.0	-58.0	22.7865214315149	496
3	-24.0	-92.0	-32.0	8.831833361911352	176
3a	-10.0	-92.0	-32.0	8.148496928316309	
3b	-34.0	-90.0	-32.0	6.265628665212736	
4	-18.0	-88.0	-34.0	6.959317468569606	112
5	-28.0	-94.0	-30.0	6.369679911849331	96
5a	-14.0	-94.0	-30.0	4.889342789933041	
6	0.0	-42.0	4.0	5.543345275432841	120
7	-12.0	4.0	-32.0	4.062799812733855	96
