Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-72.0	93.38491049085329	3424
1a	8.0	-42.0	-72.0	35.84785368340532	
1b	8.0	-56.0	-68.0	17.28215367153257	
1c	-8.0	-52.0	-70.0	16.72317621549536	
2	-34.0	-66.0	-64.0	62.65211589388572	512
2a	-30.0	-58.0	-66.0	44.337904926466734	
2b	-24.0	-70.0	-62.0	14.200801562574977	
3	-28.0	-76.0	-60.0	12.85091988477275	104
3a	-18.0	-76.0	-60.0	4.335747926281138	
4	20.0	-72.0	-60.0	11.3387803080082	424
4a	14.0	-78.0	-58.0	5.371152590984873	
4b	30.0	-74.0	-60.0	5.321585690702936	
4c	20.0	-80.0	-58.0	4.739373494178452	
5	38.0	-64.0	-64.0	11.072351907277437	176
5a	30.0	-62.0	-64.0	6.303950778624313	
6	22.0	-66.0	-62.0	10.068197311675345	184
6a	30.0	-68.0	-62.0	6.525736498372517	
6b	40.0	-68.0	-62.0	4.524286377830864	
7	-8.0	-14.0	-46.0	5.335625929109588	360
8	8.0	-10.0	-42.0	5.325864499658122	144
9	-22.0	8.0	-38.0	4.187352067932638	264
9a	-20.0	0.0	-42.0	3.8637029695665768	
