Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-72.0	129.88803578447025	4520
1a	8.0	-42.0	-72.0	49.109230698462625	
1b	8.0	-56.0	-68.0	23.411590936894456	
1c	-8.0	-52.0	-70.0	22.610010012056904	
2	-34.0	-66.0	-64.0	86.0612609548503	720
2a	-30.0	-58.0	-66.0	60.15049719643295	
2b	-24.0	-70.0	-62.0	19.248761666792767	
2c	-18.0	-76.0	-60.0	5.811928537701457	
3	28.0	-56.0	-66.0	27.60577502785232	1104
3a	20.0	-72.0	-60.0	15.342419603232326	
3b	38.0	-64.0	-64.0	14.90169943913395	
3c	22.0	-66.0	-62.0	13.673810750673026	
4	-8.0	-14.0	-46.0	7.141807867919892	1032
4a	8.0	-10.0	-42.0	7.104023288502874	
5	-22.0	8.0	-38.0	5.7104079926627245	784
5a	-20.0	0.0	-42.0	5.210143677706833	
6	16.0	-2.0	-40.0	5.363015356367508	168
7	36.0	28.0	-36.0	4.733135198493357	200
8	-8.0	74.0	4.0	4.568090058194763	168
9	32.0	68.0	-6.0	4.303660287470339	112
9a	36.0	68.0	2.0	3.441949688193986	
