Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-6.0	-38.0	-72.0	17.98249539043854	1440
1a	-4.0	-24.0	-62.0	3.8176944958644587	
2	-8.0	74.0	4.0	10.635195968075188	560
2a	-10.0	74.0	-6.0	5.31531185215905	
3	-10.0	2.0	-34.0	8.127733636709383	264
4	-26.0	70.0	-6.0	7.929196498127329	368
4a	-40.0	62.0	-8.0	4.067021050161253	
5	0.0	-2.0	78.0	5.719260712305035	272
5a	-8.0	0.0	80.0	5.1464936631522145	
6	10.0	4.0	-36.0	5.44977710984401	128
7	44.0	-82.0	-22.0	5.152323345184528	176
8	-2.0	-48.0	80.0	4.478868638793519	168
9	22.0	-94.0	-24.0	4.2861319986296635	80
10	4.0	-96.0	-10.0	4.264598051996107	88
11	52.0	-72.0	-24.0	4.070317688198619	80
12	-4.0	-8.0	-42.0	4.040021751358843	120
12a	6.0	-10.0	-42.0	3.5944010769083237	
13	6.0	-22.0	-56.0	3.876536836585432	80
