Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	10.0	-64.0	-64.0	12.04519543644885	336
1a	0.0	-64.0	-64.0	8.199904532903854	
2	-32.0	70.0	-2.0	9.710111591638084	2128
2a	-16.0	76.0	4.0	4.7026346345384695	
3	32.0	72.0	-6.0	7.27050314260652	2280
3a	20.0	74.0	-10.0	6.801914053625156	
3b	38.0	62.0	-10.0	4.271081582781843	
4	-6.0	-40.0	-70.0	6.391271767321856	1280
4a	10.0	-38.0	-72.0	6.089158771862385	
4b	-2.0	-36.0	-72.0	5.357617624275213	
4c	-10.0	-36.0	-64.0	4.957437112821347	
5	12.0	78.0	6.0	4.276297260645112	152
