Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-32.0	-66.0	32.0195692475175	4048
1a	-4.0	-32.0	-66.0	25.622986128590902	
1b	-14.0	-40.0	-64.0	13.571335330415216	
1c	0.0	-42.0	-64.0	12.619770656968322	
2	-38.0	64.0	-8.0	12.527186136057525	13120
2a	24.0	70.0	-20.0	12.454601182818797	
2b	34.0	62.0	-14.0	12.032505219997596	
2c	32.0	70.0	-10.0	12.012456201466549	
3	26.0	-80.0	-46.0	12.044478750796726	176
4	-10.0	8.0	-34.0	8.057063562743368	128
5	8.0	8.0	-32.0	6.617289006851282	80
6	-58.0	-48.0	-34.0	5.704263730326692	80
7	-2.0	52.0	-24.0	5.671025629777307	504
7a	12.0	60.0	-24.0	5.633588716974672	
7b	-6.0	56.0	-22.0	5.045197274580502	
7c	6.0	56.0	-22.0	4.927398034925215	
8	0.0	-8.0	-40.0	4.909014746840509	216
