Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-32.0	-66.0	19.51345085808372	2200
1a	-4.0	-32.0	-66.0	15.879084001742735	
1b	-14.0	-40.0	-64.0	8.315269001535656	
1c	0.0	-42.0	-64.0	7.745576921928293	
2	24.0	70.0	-20.0	7.791060872124597	3960
2a	34.0	62.0	-14.0	7.531523613426821	
2b	32.0	70.0	-10.0	7.510628379950712	
2c	40.0	64.0	-8.0	7.401587050460784	
3	-38.0	64.0	-8.0	7.755477226112864	1064
3a	-44.0	54.0	-12.0	4.5098980695816095	
3b	-28.0	66.0	-14.0	4.426463362182095	
4	26.0	-80.0	-46.0	7.508019414099707	136
5	-20.0	74.0	0.0	5.665840908610515	768
6	8.0	74.0	14.0	4.698381996869466	424
6a	18.0	74.0	10.0	4.473432403679511	
