Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-32.0	-68.0	48.20009211886503	2120
1a	18.0	-40.0	-64.0	21.840339999035347	
1b	-12.0	-38.0	-64.0	13.597148144472525	
1c	28.0	-44.0	-60.0	10.812368271006696	
2	0.0	-58.0	-58.0	23.59379661945601	496
3	-24.0	-92.0	-32.0	8.861922322243752	176
3a	-10.0	-92.0	-32.0	8.128273138959369	
3b	-34.0	-90.0	-32.0	6.473051324122672	
4	-18.0	-88.0	-34.0	6.993393227386385	112
5	-28.0	-94.0	-30.0	6.600832232315797	96
5a	-14.0	-94.0	-30.0	5.067116542044929	
6	0.0	-42.0	4.0	5.739987048587217	152
7	-12.0	4.0	-32.0	4.214966436301933	120
