Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-72.0	96.25917573617079	3592
1a	8.0	-42.0	-72.0	37.06641838016368	
1b	8.0	-56.0	-68.0	17.89153209465467	
1c	-8.0	-52.0	-70.0	17.292974840097212	
2	-34.0	-66.0	-64.0	64.52683731006388	520
2a	-30.0	-58.0	-66.0	45.863424495299974	
2b	-24.0	-70.0	-62.0	14.705820310185837	
3	-28.0	-76.0	-60.0	13.288495041921372	112
3a	-18.0	-76.0	-60.0	4.491347169289924	
4	20.0	-72.0	-60.0	11.756850900914074	456
4a	14.0	-78.0	-58.0	5.572553444411369	
4b	30.0	-74.0	-60.0	5.53999225507406	
4c	20.0	-80.0	-58.0	4.837399689912309	
5	38.0	-64.0	-64.0	11.31997056945517	184
5a	30.0	-62.0	-64.0	6.528176550326733	
6	22.0	-66.0	-62.0	10.408702983832818	200
6a	30.0	-68.0	-62.0	6.757533294841169	
6b	40.0	-68.0	-62.0	4.660871491525181	
7	-8.0	-14.0	-46.0	5.54853401902211	424
8	8.0	-10.0	-42.0	5.548335410755055	184
9	-22.0	8.0	-38.0	4.3251818745154855	296
9a	-20.0	0.0	-42.0	4.004503912980137	
