Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-72.0	130.02723578842486	4504
1a	8.0	-42.0	-72.0	49.23050121657428	
1b	8.0	-56.0	-68.0	23.448317276100518	
1c	-8.0	-52.0	-70.0	22.627717514739476	
2	-34.0	-66.0	-64.0	86.02474072511197	704
2a	-30.0	-58.0	-66.0	60.3043960696706	
2b	-24.0	-70.0	-62.0	19.304324298117663	
2c	-18.0	-76.0	-60.0	5.845190466434807	
3	28.0	-56.0	-66.0	27.663279865920252	1104
3a	20.0	-72.0	-60.0	15.379656181624615	
3b	38.0	-64.0	-64.0	14.78382891562334	
3c	22.0	-66.0	-62.0	13.68918078697482	
4	-8.0	-14.0	-46.0	7.159699768769823	1024
4a	8.0	-10.0	-42.0	7.129620710158925	
5	-22.0	8.0	-38.0	5.708347890214975	784
5a	-20.0	0.0	-42.0	5.217952897469924	
6	16.0	-2.0	-40.0	5.383749470956875	176
7	36.0	28.0	-36.0	4.737052464016126	200
8	-8.0	74.0	8.0	4.443162773464413	168
9	32.0	68.0	-6.0	4.280695297942931	112
