Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-40.0	-72.0	65.46062315562132	2240
1a	8.0	-42.0	-72.0	24.897826040863947	
1b	8.0	-56.0	-68.0	11.936134109806849	
1c	-8.0	-52.0	-70.0	11.512823560710014	
2	-34.0	-66.0	-64.0	43.37462656360908	432
2a	-30.0	-58.0	-66.0	30.556329933981587	
2b	-24.0	-70.0	-62.0	9.801193744560809	
3	20.0	-72.0	-60.0	7.844197223399635	80
4	38.0	-64.0	-64.0	7.530972404191805	96
4a	30.0	-62.0	-64.0	4.334202694627455	
5	22.0	-66.0	-62.0	6.948990506061122	96
5a	30.0	-68.0	-62.0	4.497960457367941	
