Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	8.0	-38.0	-72.0	21.821113264149858	5352
1a	2.0	-62.0	-68.0	17.224278398189572	
1b	-6.0	-40.0	-72.0	16.10245782216315	
1c	6.0	-60.0	-68.0	15.95112406764155	
2	-2.0	80.0	-6.0	14.355298578500067	384
3	52.0	-22.0	-26.0	11.433800311879457	568
4	-50.0	-24.0	-26.0	10.157848652023198	400
5	28.0	-84.0	-54.0	8.28453754291876	384
5a	18.0	-80.0	-58.0	5.401206431528384	
5b	14.0	-86.0	-50.0	4.075487357030519	
6	14.0	-94.0	-40.0	7.639936155480711	656
6a	10.0	-96.0	-28.0	6.043685559407781	
6b	6.0	-90.0	-42.0	5.01928974592667	
7	22.0	-96.0	-20.0	6.927869645219221	224
7a	14.0	-92.0	-20.0	3.737544178285837	
8	-14.0	-90.0	-46.0	5.942037540884631	320
8a	-6.0	-90.0	-44.0	5.3829707362315915	
9	-28.0	-16.0	-44.0	5.848258013462579	104
10	2.0	-30.0	82.0	5.636788678272162	336
10a	6.0	-38.0	82.0	4.370483198059864	
11	-2.0	-50.0	80.0	5.5091702878235225	176
12	0.0	-40.0	4.0	5.0748054232628075	104
13	-4.0	-16.0	-44.0	4.827740081614841	136
