Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-86.0	54.0	19.134074909165964	704
1a	-2.0	-78.0	66.0	6.29441002966623	
2	-28.0	64.0	-6.0	18.670483591344272	464
2a	-36.0	58.0	-10.0	6.275794719576208	
3	30.0	66.0	-10.0	18.404521053347313	608
4	4.0	-96.0	30.0	14.49966211538478	712
4a	4.0	-98.0	16.0	7.258698769794665	
5	10.0	-42.0	-72.0	13.865603389898688	2152
5a	-6.0	-42.0	-72.0	9.47933643040064	
5b	14.0	-54.0	-72.0	5.569756963827137	
5c	-12.0	-52.0	-72.0	4.247669651517191	
6	46.0	52.0	-10.0	7.108900580064791	408
6a	42.0	58.0	-2.0	4.968630303322404	
7	-20.0	-4.0	-38.0	5.86949455659339	144
8	-36.0	44.0	-22.0	5.462480553422652	80
9	8.0	-64.0	-68.0	5.094544716643799	176
9a	-2.0	-64.0	-68.0	4.791225207070911	
10	22.0	72.0	4.0	5.006016044530713	232
10a	12.0	72.0	2.0	4.727968564002087	
11	4.0	-40.0	86.0	4.618634485476039	168
11a	4.0	-50.0	82.0	3.686345610912822	
12	26.0	66.0	12.0	4.6176709081112355	112
