Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-36.0	-72.0	13.519688420766002	1160
2	-16.0	74.0	-4.0	5.993102704040845	256
2a	-8.0	74.0	-8.0	5.179468142554245	
2b	-22.0	74.0	4.0	4.113631297689683	
3	-8.0	76.0	8.0	5.388715088381463	96
3a	-12.0	76.0	0.0	3.857567071548791	
4	0.0	-58.0	-70.0	5.3214388173343945	184
5	22.0	74.0	4.0	5.3006024794280275	176
6	-12.0	-54.0	-72.0	4.468794086292901	104
6a	4.0	-54.0	-72.0	3.9409794222547285	
7	-10.0	74.0	10.0	3.8846460384447647	80
8	8.0	76.0	10.0	3.7985663190477355	104
