Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-36.0	-72.0	25.92344467962569	5464
1a	16.0	-50.0	-72.0	10.108629986092826	
1b	0.0	-58.0	-70.0	9.634655800142136	
1c	-12.0	-54.0	-72.0	8.100452461740172	
2	-16.0	74.0	-4.0	11.410286846994829	3792
2a	-8.0	76.0	8.0	10.358278132134856	
2b	22.0	74.0	4.0	9.904956576802302	
2c	-8.0	74.0	-8.0	9.838944331663503	
3	-8.0	10.0	-34.0	7.795415726557195	88
4	0.0	-96.0	-18.0	7.689600374098684	312
5	2.0	-24.0	82.0	6.081756628749044	256
5a	4.0	-40.0	82.0	4.274433618059918	
5b	2.0	-32.0	82.0	3.9811369519903943	
6	18.0	-18.0	-40.0	4.287267069727721	80
7	0.0	-10.0	-24.0	4.098495536005818	176
8	-14.0	-30.0	-50.0	3.490437322301098	80
