Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	0.0	-36.0	-72.0	20.42859959349321	3512
1a	16.0	-50.0	-72.0	8.493803748871695	
1b	0.0	-58.0	-70.0	8.075982469899465	
1c	-12.0	-54.0	-72.0	6.786726933826773	
2	-16.0	74.0	-4.0	9.106123068978834	2672
2a	-8.0	76.0	8.0	8.123510013425276	
2b	22.0	74.0	4.0	8.111703938927024	
2c	-8.0	74.0	-8.0	7.881077600250948	
3	12.0	74.0	16.0	6.116699132842838	96
4	-30.0	70.0	-2.0	5.9237455280764015	104
5	0.0	-96.0	-18.0	5.894087707273284	200
6	4.0	-4.0	-38.0	4.854510791778638	96
