Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-42.0	-66.0	-50.0	51.218393248540224	16128
1a	-6.0	-26.0	-58.0	50.962053064847815	
1b	-38.0	-72.0	-48.0	46.53872710914254	
1c	-32.0	-78.0	-46.0	45.619198524173704	
2	12.0	-96.0	-20.0	20.21982375707489	1736
2a	0.0	-98.0	-14.0	8.131377259491389	
2b	10.0	-88.0	-20.0	4.0978430922992946	
2c	2.0	-90.0	-22.0	4.073274546290008	
3	2.0	-100.0	20.0	16.66606853087071	736
3a	2.0	-92.0	32.0	10.165032007149751	
4	2.0	10.0	76.0	12.0578603231739	208
5	0.0	-26.0	82.0	10.82766845332919	1696
5a	2.0	-44.0	82.0	6.896085618306292	
5b	2.0	-52.0	78.0	3.92427783331031	
6	22.0	-4.0	-42.0	9.0392935945195	456
7	-16.0	-2.0	-44.0	6.510865666164687	296
8	-36.0	30.0	-26.0	6.506463245519384	152
9	-14.0	36.0	60.0	6.063543694617824	80
10	-30.0	-16.0	76.0	5.3261925342150045	176
11	0.0	26.0	-20.0	4.849875132179518	96
12	2.0	-12.0	-20.0	4.698950977809928	136
13	0.0	-64.0	64.0	4.166386753213121	88
14	4.0	-4.0	-28.0	4.084733956235601	256
15	-22.0	14.0	-30.0	3.853378071833686	104
16	2.0	6.0	-32.0	3.7365662329959313	80
