Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-42.0	-66.0	-50.0	25.23327871510926	2128
1a	-32.0	-78.0	-46.0	22.47477669856784	
1b	-34.0	-70.0	-48.0	22.255816119225383	
1c	-44.0	-58.0	-52.0	18.988173688859533	
2	-6.0	-26.0	-58.0	25.05681250708892	3072
2a	-12.0	-36.0	-56.0	16.517895161378505	
2b	16.0	-34.0	-54.0	9.904146537457732	
2c	6.0	-26.0	-56.0	9.829967271361884	
3	12.0	-96.0	-20.0	9.88868333943202	248
4	2.0	-100.0	20.0	8.142313298161502	200
5	0.0	-48.0	-52.0	7.285895266149777	208
5a	-12.0	-52.0	-50.0	3.814392262350334	
6	16.0	-84.0	-42.0	7.057658159203504	248
7	28.0	-80.0	-44.0	6.489584511452599	104
7a	18.0	-78.0	-44.0	5.469529444698277	
8	0.0	-26.0	82.0	5.30505448604276	248
9	0.0	-72.0	-44.0	4.4245250576035655	80
10	-2.0	-8.0	-44.0	3.896082857030621	112
